Date,Open,High,Low,close to 4 week average ratio,Volume,Nifty Close,Close
01-10-2007,76.094704,83.028801,73.049698,1.079544161,64078501,5185.850098,80.707397
08-10-2007,81.400803,89.1791,76.034401,1.126217827,68484878,5428.25,86.284897
15-10-2007,86.526001,97.0177,77.451401,1.060591546,66511550,5215.299805,84.566399
22-10-2007,85.320099,93.460197,75.974098,1.020829992,51276169,5702.299805,83.481102
29-10-2007,87.128998,87.128998,71.482002,0.944478813,68398358,5932.399902,79.109497
05-11-2007,79.591904,81.039001,74.466698,0.89981973,15630810,5663.25,75.009399
12-11-2007,74.677696,78.4161,71.632698,0.950777036,27839662,5906.850098,76.577103
19-11-2007,77.722702,78.355797,69.401703,0.921599923,19012592,5608.600098,72.386398
26-11-2007,74.677696,75.8535,70.0952,0.976026358,13783494,5762.75,73.954102
03-12-2007,74.768204,90.505699,74.466698,1.079943684,48018840,5974.299805,80.436096
10-12-2007,81.702301,85.802498,75.401299,1.121447318,73042623,6047.700195,85.048798
17-12-2007,84.717102,84.717102,76.275597,1.003577008,14787951,5766.5,78.235199
24-12-2007,78.506599,82.606796,77.059402,1.000285214,18791677,6079.700195,79.4412
31-12-2007,79.591904,84.958298,79.591904,1.024722933,21717403,6274.299805,82.787697
07-01-2008,81.400803,85.259804,80.5868,1.036584437,45174371,6200.100098,84.3554
14-01-2008,84.415703,90.143898,81.129501,1.012808702,42474231,5705.299805,82.245003
21-01-2008,78.6875,84.475998,57.945301,0.865865615,23856621,5383.350098,71.180496
28-01-2008,70.818703,78.386002,66.326599,0.919025793,28881079,5317.25,73.652702
04-02-2008,75.401299,78.084503,62.105801,0.89641838,16679185,5120.350098,69.793701
11-02-2008,67.653099,69.853996,60.5079,0.916420847,15714820,5302.899902,68.0149
18-02-2008,68.979698,68.979698,63.160999,0.921600375,11843954,5110.75,65.120697
25-02-2008,65.180901,70.426804,64.849297,0.958795612,11690662,5223.5,66.296402
03-03-2008,65.120697,65.120697,58.6689,0.890929833,19815472,4771.600098,59.965302
10-03-2008,59.091,62.6786,56.317299,0.897256845,18171222,4745.799805,58.186501
17-03-2008,58.186501,59.392399,53.061298,0.88282153,35419170,4573.950195,55.0812
24-03-2008,55.774601,63.311699,55.292301,1.046193038,30802242,4942,62.648499
31-03-2008,62.5882,63.9147,58.487999,1.015849034,16037706,4647,59.904999
07-04-2008,60.2668,61.743999,58.216702,1.017642167,18987967,4777.799805,59.995399
14-04-2008,59.693901,61.442501,58.487999,1.01446409,11887130,4958.399902,60.2668
21-04-2008,60.899899,67.834,60.8396,1.068288382,114162709,5111.700195,64.849297
28-04-2008,65.422096,67.834,62.889702,1.069521528,184392248,5228.200195,65.512604
05-05-2008,65.8442,66.326599,60.296902,0.994105531,141024732,4982.600098,62.286701
12-05-2008,62.5882,66.929604,60.688801,1.050899969,102886766,5157.700195,66.447197
19-05-2008,66.266296,68.738503,63.974998,0.996974914,125141995,4946.549805,64.578003
26-05-2008,63.432301,67.713402,63.432301,1.014792629,74993024,4870.100098,65.6633
02-06-2008,65.904503,66.175797,61.2617,0.977880488,33548248,4627.799805,63.311699
09-06-2008,63.0103,67.532501,56.890099,1.003246894,74913670,4517.100098,65.211098
16-06-2008,65.422096,67.532501,62.889702,0.979145098,33856406,4347.549805,63.3419
23-06-2008,62.2565,63.854401,57.4328,0.912666594,79203880,4136.649902,58.7593
30-06-2008,58.307098,59.3321,51.312698,0.851197022,44410571,4016,53.3326
07-07-2008,53.6642,56.9203,50.378101,0.844399336,83351886,4049,50.800098
14-07-2008,50.649399,51.192101,44.619701,0.859809276,83779114,4092.25,48.629501
21-07-2008,49.443501,56.5886,47.6647,1.007411563,57375647,4311.850098,53.272301
28-07-2008,53.6642,54.990799,51.252399,1.04068008,35309349,4413.549805,53.604
04-08-2008,52.458302,56.3475,52.458302,1.052169618,37547490,4529.5,54.2672
11-08-2008,54.4179,55.4128,51.614201,0.989938639,45077889,4430.700195,51.9156
18-08-2008,52.4282,52.7598,48.4184,0.928258887,35137673,4327.450195,49.443501
25-08-2008,51.1619,51.1619,47.936001,0.949856684,35586799,4360,49.6847
01-09-2008,49.714802,50.649399,48.056599,0.953303053,21864118,4352.299805,48.930901
08-09-2008,50.3479,52.880402,49.141998,1.002864892,29448338,4228.450195,50.136902
15-09-2008,48.930901,50.136902,42.810799,0.993610325,40080756,4245.25,49.232399
22-09-2008,50.046398,50.649399,46.549198,0.949595641,65121168,3985.25,47.0014
29-09-2008,46.8507,48.116901,40.097401,0.896574315,35337798,3818.300049,43.7756
06-10-2008,42.810799,43.534401,35.334,0.811162727,27737165,3279.949951,38.559898
13-10-2008,39.193001,47.2728,37.444401,0.854296873,41363346,3074.350098,38.137798
20-10-2008,39.1628,39.645199,21.4657,0.530692708,97078120,2584,22.2194
27-10-2008,22.2194,26.982901,20.5009,0.719204296,47531993,2885.600098,25.6563
03-11-2008,27.1336,31.957399,26.5306,0.921586821,50308208,2973,28.7013
10-11-2008,29.847,32.198601,28.038099,1.027068888,28925874,2810.350098,29.455
17-11-2008,29.9977,30.3293,24.0585,1.000852573,26418191,2693.449951,26.5306
24-11-2008,27.193899,29.243999,26.1387,1.02404498,28787689,2755.100098,28.2491
01-12-2008,28.8822,31.2941,22.3701,1.047517178,28573954,2714.399902,29.5756
08-12-2008,30.1485,33.464802,29.847,1.138012922,30403388,2921.350098,32.379398
15-12-2008,32.530201,35.213402,30.872,1.091942654,31940752,3077.5,31.866899
22-12-2008,31.957399,32.469898,28.7013,0.953323909,23484527,2857.25,29.0933
29-12-2008,29.243999,33.374298,28.641001,1.057639764,23499990,3046.75,32.5
05-01-2009,33.103001,33.103001,27.736601,0.889316262,27532380,2873,27.9778
12-01-2009,27.736601,28.219,25.2945,0.872889877,25725015,2828.449951,26.5005
19-01-2009,26.6814,27.073299,24.8423,0.889351056,27305296,2678.550049,25.8071
26-01-2009,26.470301,28.7013,26.0483,1.005076898,39882702,2874.800049,28.3395
02-02-2009,28.399799,28.7616,25.988001,0.994725887,23323440,2843.100098,27.013
09-02-2009,27.736601,31.655899,26.3799,1.153738479,55665867,2948.350098,31.0529
16-02-2009,31.354401,31.354401,27.766701,1.04030125,28845458,2736.449951,29.183701
23-02-2009,28.9727,30.4198,27.5858,0.980697999,31801810,2763.649902,28.3395
02-03-2009,27.193899,28.309401,25.324699,0.951487597,21935091,2620.149902,27.495399
09-03-2009,27.2843,27.9175,26.3799,0.919481526,13644146,2719.25,26.6814
16-03-2009,26.470301,29.485201,26.470301,0.999731423,40041625,2807.050049,27.9175
23-03-2009,28.038099,32.1684,28.038099,1.147692148,66248075,3108.649902,31.686001
30-03-2009,31.354401,31.5051,29.063101,1.082141671,43915678,3211.050049,30.781601
06-04-2009,31.354401,34.188301,30.932301,1.139325065,31860120,3342.050049,33.3442
13-04-2009,33.7663,35.273701,31.444799,1.052630168,46385327,3384.399902,32.560299
20-04-2009,33.1633,37.5951,32.409599,1.137624132,66377495,3480.75,36.5098
27-04-2009,36.117802,39.072399,34.580299,1.054777242,52005750,3473.949951,35.123001
04-05-2009,36.178101,38.077499,35.2435,1.038141682,47284944,3620.699951,35.695801
11-05-2009,36.178101,40.278301,33.6758,1.121549993,57894891,3671.649902,39.223099
18-05-2009,41.6049,49.443501,40.820999,1.174242283,89996586,4238.5,43.021801
25-05-2009,44.016701,52.0061,41.3335,1.325978618,224325054,4448.950195,50.739799
01-06-2009,50.800098,52.277401,47.544102,1.184630138,112793027,4586.899902,49.956001
08-06-2009,50.468498,55.3526,45.222698,1.09822033,134855401,4583.399902,50.227299
15-06-2009,50.046398,53.4231,46.036701,0.997357518,104267295,4313.600098,48.358101
22-06-2009,48.8405,50.0163,45.614601,0.962178088,63289848,4375.5,47.936001
29-06-2009,47.936001,48.4184,42.569599,0.913304035,96630585,4424.25,44.860901
06-07-2009,45.644699,45.644699,39.9165,0.851922034,54404801,4003.899902,40.7607
13-07-2009,39.796001,46.066799,38.1679,0.980445322,50415765,4374.950195,44.5896
20-07-2009,45.222698,49.9258,43.896099,1.104077964,65249574,4568.549805,49.1721
27-07-2009,49.7449,49.9258,45.071899,1.061512431,51039464,4636.450195,47.604401
03-08-2009,48.116901,48.900799,43.715199,0.966726495,47765680,4481.399902,44.016701
10-08-2009,44.68,47.875702,43.564499,1.015449081,45061753,4580.049805,47.061699
17-08-2009,47.031601,50.3479,45.554298,1.063071546,87785731,4528.799805,49.9258
24-08-2009,50.3479,51.131802,47.815399,1.043479475,50375085,4732.350098,49.202301
31-08-2009,49.0214,49.443501,47.0919,1.02076429,38778731,4680.399902,48.539001
07-09-2009,48.237499,50.167,46.217602,0.95185098,51445258,4829.549805,46.3382
14-09-2009,46.187401,46.549198,45.071899,0.954157449,51909151,4976.049805,46.277901
21-09-2009,46.2477,47.2728,44.9212,0.962305669,38663618,4958.950195,45.795502
28-09-2009,45.885899,46.639599,44.408699,0.950169682,31328652,5083.399902,44.408699
05-10-2009,44.318199,44.318199,36.690701,0.823877843,158146479,4945.200195,37.655399
12-10-2009,37.987,38.891499,36.781101,0.878115254,57657007,5142.149902,38.228199
19-10-2009,38.59,38.8312,35.183201,0.854600981,55689113,4997.049805,35.484699
26-10-2009,35.876701,35.937,31.083,0.805882815,84602768,4711.700195,31.384501
02-11-2009,31.2036,32.982399,29.364599,0.853220404,70829658,4796.149902,30.4499
09-11-2009,30.7514,31.1434,28.821899,0.896796948,77913799,4998.950195,30.389601
16-11-2009,30.4499,31.535299,29.786699,0.964119148,49621200,5052.450195,30.781601
23-11-2009,30.781601,30.902201,28.942499,0.959803465,42015713,4941.75,29.515301
30-11-2009,29.847,33.404499,29.6359,1.090096756,64772463,5108.899902,33.0126
07-12-2009,33.223598,37.0826,32.560299,1.165001205,94858054,5117.299805,36.027401
14-12-2009,35.9972,35.9972,32.711102,1.062004709,53109113,4987.700195,34.3391
21-12-2009,34.610401,36.600201,34.3391,1.060797128,25463427,5178.399902,35.2435
28-12-2009,35.2435,36.178101,34.610401,1.009134088,14013608,5201.049805,34.972198
04-01-2010,35.0928,37.2635,34.7612,1.038817155,27648659,5244.75,36.5098
11-01-2010,36.781101,37.776001,34.700901,1.01389294,30850967,5252.200195,35.7561
18-01-2010,35.725899,37.534801,33.7663,1.050358798,47745582,5036,37.4142
25-01-2010,37.384102,37.987,34.7612,0.974571451,41270920,4882.049805,35.2435
01-02-2010,35.153099,37.203201,33.7663,0.941127601,27369276,4718.649902,34.0979
08-02-2010,34.6707,35.454601,33.886902,0.988365222,15736664,4826.850098,35.213402
15-02-2010,35.273701,35.876701,34.0979,0.989596335,16144648,4844.899902,35.123001
22-02-2010,34.851601,37.293598,33.223598,1.055039504,28849037,4922.299805,36.8414
01-03-2010,36.781101,37.866501,36.479599,1.057617133,16298993,5088.700195,37.353901
08-03-2010,37.4142,37.987,36.057499,1.006256759,16405590,5137,36.359001
15-03-2010,36.4193,41.665199,35.695801,1.13990029,50078213,5262.799805,41.5144
22-03-2010,40.881302,41.6049,39.102501,1.057890242,26134713,5282,40.217999
29-03-2010,40.097401,41.062199,38.8312,1.002328169,19768414,5290.5,38.951801
05-04-2010,39.193001,41.484299,38.288502,1.032829228,69765728,5361.75,40.549702
12-04-2010,40.700401,41.665199,40.3386,1.008227141,24240207,5262.600098,40.640099
19-04-2010,40.127602,41.303398,39.2533,0.98589921,17134166,5304.100098,39.524601
26-04-2010,39.6754,40.3386,36.5098,0.923717113,35105984,5278,36.871601
03-05-2010,36.781101,39.615101,36.178101,0.970345038,44317086,5018.049805,38.228199
10-05-2010,38.288502,39.313599,32.409599,0.886989647,100998071,5093.5,34.429501
17-05-2010,34.0075,37.776001,30.781601,0.83980626,58517800,4931.149902,31.2941
24-05-2010,31.957399,32.5,29.243999,0.85977185,96468069,5066.549805,30.268999
31-05-2010,30.268999,34.9119,29.243999,1.005391094,87357867,5135.5,33.736099
07-06-2010,32.5905,33.886902,31.957399,1.011387557,50231454,5119.350098,32.801498
14-06-2010,33.404499,33.706001,31.866899,1.009177936,41364292,5262.600098,32.319099
21-06-2010,32.560299,34.459702,32.047798,1.056270017,28388563,5269.049805,34.0979
28-06-2010,34.429501,36.2384,34.0075,1.052154617,45755042,5237.100098,34.972198
05-07-2010,34.972198,40.790901,34.550098,1.19883123,80782735,5352.450195,40.217999
12-07-2010,40.519501,42.871101,33.1633,1.106237567,130459303,5393.899902,39.1628
19-07-2010,39.072399,41.695301,38.228199,1.115353287,66372745,5449.100098,41.393799
26-07-2010,41.544601,42.871101,40.308498,1.093302722,64927341,5367.600098,42.569599
02-08-2010,42.871101,45.463902,41.936501,1.056478278,66358568,5439.25,43.142399
09-08-2010,43.263,44.077,42.207802,1.053853795,40678496,5452.100098,43.805698
